time,intensity_rate,structure_rate,coupled_rate,heterogeneity,localization,roughness,sign_mixing,temporal_deformation
4.650000000000000355e+00,5.848909919930782575e-01,6.066144627875479367e-01,9.396981058694570121e-01,1.039525965769810378e+00,4.015958861142305381e+00,1.313265643529243132e+00,9.828678139515887313e-01,2.079800998541533052e-01
4.674999999999999822e+00,5.821611973484223101e-01,6.068788746049535998e-01,9.354667114305306175e-01,1.041065295499695953e+00,4.026756176376109053e+00,1.312667108536751615e+00,9.827109598439695004e-01,2.091380850969658534e-01
4.700000000000000178e+00,5.794422576217665988e-01,6.071394955220412726e-01,9.312491218237513024e-01,1.042614178197225794e+00,4.037427399656702498e+00,1.312055006072519348e+00,9.825452461850824326e-01,2.102953017491396293e-01
4.725000000000000533e+00,5.767351642019633573e-01,6.073961573095645328e-01,9.270468727126135455e-01,1.044166583137230209e+00,4.047965581943662627e+00,1.311429552111293306e+00,9.823706530254820990e-01,2.114512679039865783e-01
4.750000000000000000e+00,5.740409062631174342e-01,6.076487114077848695e-01,9.228615102165487194e-01,1.045729008837914087e+00,4.058363802264516096e+00,1.310791046248262814e+00,9.821870531407631555e-01,2.126054882625005582e-01
4.775000000000000355e+00,5.713604703226781156e-01,6.078966570057415808e-01,9.186943775530446166e-01,1.047291134854100525e+00,4.068615177842713315e+00,1.310139773545699438e+00,9.819944703740995928e-01,2.137574540539690648e-01
4.800000000000000711e+00,5.686948397950062351e-01,6.081395400634026505e-01,9.145468446540986340e-01,1.048832859884896163e+00,4.078712874674682354e+00,1.309476132370164914e+00,9.817930238928097575e-01,2.149066429869114503e-01
4.825000000000000178e+00,5.660449945406973438e-01,6.083775322657631879e-01,9.104206354043160587e-01,1.050373988946800674e+00,4.088650118544324918e+00,1.308800786749061862e+00,9.815824768894250152e-01,2.160525192311476828e-01
4.850000000000000533e+00,5.634119104119569288e-01,6.086108784177174380e-01,9.063175077255747336e-01,1.051918505548921523e+00,4.098420206460174242e+00,1.308114053240203578e+00,9.813627345164517290e-01,2.171945334318195475e-01
4.875000000000000000e+00,5.607965587943311014e-01,6.088393148286260770e-01,9.022389251835770674e-01,1.053469204957349525e+00,4.108016518497301206e+00,1.307415970874316269e+00,9.811337142657392540e-01,2.183321227561356159e-01
4.900000000000000355e+00,5.581999061451032862e-01,6.090621074357466247e-01,8.981860837946065157e-01,1.055003131828338603e+00,4.117432530022822945e+00,1.306706865532384576e+00,9.808955809199103593e-01,2.194647109736077017e-01
4.925000000000000711e+00,5.556229135286875342e-01,6.092785198120913570e-01,8.941601770453134757e-01,1.056508483228459916e+00,4.126661824280242641e+00,1.305986792768586424e+00,9.806484058425524175e-01,2.205917085704569847e-01
4.950000000000000178e+00,5.530665361493459775e-01,6.094879716067448383e-01,8.901624832382983854e-01,1.057976150686818384e+00,4.135698105304528305e+00,1.305256183128749914e+00,9.803922438613090762e-01,2.217125128988946536e-01
4.975000000000000533e+00,5.505317228815737041e-01,6.096899694314993345e-01,8.861943241474006250e-01,1.059391313863784267e+00,4.144535211135994324e+00,1.304517886970759877e+00,9.801272155656163276e-01,2.228265083619075382e-01
5.000000000000000000e+00,5.480194157985024406e-01,6.098842753483681989e-01,8.822571553434850333e-01,1.060753490337201344e+00,4.153167127297538563e+00,1.303771557581230756e+00,9.798533101309903071e-01,2.239330666341125819e-01
5.025000000000000355e+00,5.455305496986800895e-01,6.100709009928235727e-01,8.783525590469786204e-01,1.062065071133519334e+00,4.161588000495841655e+00,1.303016575662561127e+00,9.795704929574799991e-01,2.250315469192619156e-01
5.050000000000000711e+00,5.430660516315907183e-01,6.102499791525684003e-01,8.744821703778967725e-01,1.063332450058871670e+00,4.169792152503544180e+00,1.302253548895475399e+00,9.792786920829716912e-01,2.261212962448352903e-01
5.075000000000000178e+00,5.406268404222861479e-01,6.104214543899332268e-01,8.706475080240978492e-01,1.064559718165294155e+00,4.177774094175525477e+00,1.301483529331764366e+00,9.789778613853363787e-01,2.272016497941738156e-01
5.100000000000000533e+00,5.382138261955076164e-01,6.105850952729552361e-01,8.668499816360455412e-01,1.065734248444236254e+00,4.185528539548755589e+00,1.300706086836751929e+00,9.786681356566816481e-01,2.282719312764971697e-01
5.125000000000000000e+00,5.358279098996809875e-01,6.107409331353563786e-01,8.630911283083791963e-01,1.066864347353729148e+00,4.193050419971513953e+00,1.299922143196343693e+00,9.783494370610912316e-01,2.293314533350846729e-01
5.150000000000000355e+00,5.334699828311693093e-01,6.108889193371189741e-01,8.593724265415395580e-01,1.067955973123026370e+00,4.200334898204259204e+00,1.299132035960096632e+00,9.780217140976125156e-01,2.303795179938442073e-01
5.175000000000000711e+00,5.311409261591819586e-01,6.110287307111937904e-01,8.556951920071080853e-01,1.068991724818334266e+00,4.207377382430964374e+00,1.298335681858862944e+00,9.776851772381841554e-01,2.314154171423410400e-01
5.200000000000000178e+00,5.288416104517292826e-01,6.111603110762864333e-01,8.520608663566759944e-01,1.069979378040327722e+00,4.214173540116656902e+00,1.297533400922870284e+00,9.773397701839490193e-01,2.324384330593956549e-01
5.225000000000000533e+00,5.265728952030255261e-01,6.112837710506638933e-01,8.484709611371941129e-01,1.070922461411249360e+00,4.220719311643781779e+00,1.296726319756098755e+00,9.769854863937162959e-01,2.334478389751116767e-01
5.250000000000000000e+00,5.243356283627429448e-01,6.113991668000827717e-01,8.449269385596887005e-01,1.071821888075108031e+00,4.227010923657423369e+00,1.295914445015033056e+00,9.766223536718183773e-01,2.344428996712129842e-01
5.275000000000000355e+00,5.221306458675162299e-01,6.115066522284271500e-01,8.414302908357165212e-01,1.072683841596229870e+00,4.233044902046932734e+00,1.295098307823170591e+00,9.762503431354153660e-01,2.354228721194069063e-01
5.300000000000000711e+00,5.199587711751069152e-01,6.116062977690027713e-01,8.379824443916251697e-01,1.073515268918338261e+00,4.238818084489532900e+00,1.294278553641927010e+00,9.758694185411772581e-01,2.363870061573586645e-01
5.325000000000000178e+00,5.178208148016332224e-01,6.116978965724082506e-01,8.345846593305308314e-01,1.074307752122009241e+00,4.244327632479844681e+00,1.293456095851836407e+00,9.754797326086657172e-01,2.373345452018366664e-01
5.350000000000000533e+00,5.157175738622685746e-01,6.117812733438320327e-01,8.312381905936526705e-01,1.075057024443109910e+00,4.249571042768029550e+00,1.292631746653072566e+00,9.750813995143846613e-01,2.382647269983253213e-01
5.375000000000000000e+00,5.136498316158200073e-01,6.118564856026650345e-01,8.279443905131829151e-01,1.075768507492136150e+00,4.254546158128619027e+00,1.291806180382674585e+00,9.746744212208389158e-01,2.391767844063932280e-01
5.400000000000000355e+00,5.116183570135875991e-01,6.119238033839208279e-01,8.247046950740917204e-01,1.076444637425109985e+00,4.259251177381886855e+00,1.290980815019004080e+00,9.742588404131802271e-01,2.400699462199110679e-01
5.425000000000000711e+00,5.096239042529127072e-01,6.119832701076055592e-01,8.215203977721157180e-01,1.077102236650835376e+00,4.263684664589990625e+00,1.290156962286663545e+00,9.738345168495090576e-01,2.409434380210839777e-01
5.450000000000000178e+00,5.076672123358146882e-01,6.120345985148146761e-01,8.183925974290072736e-01,1.077711913153991619e+00,4.267845557351177099e+00,1.289334847961475239e+00,9.734019155277540136e-01,2.417964830671437138e-01
5.475000000000000533e+00,5.057490046331190037e-01,6.120777992884164354e-01,8.153225187179118372e-01,1.078293755288198597e+00,4.271733174116865150e+00,1.288514763918803041e+00,9.729608666452166377e-01,2.426283032083694502e-01
5.500000000000000000e+00,5.038699884544703966e-01,6.121127736194933444e-01,8.123113040542742080e-01,1.078842285141722313e+00,4.275347220458750819e+00,1.287697638395965738e+00,9.725115400749478889e-01,2.434381198359964749e-01
5.525000000000000355e+00,5.020308546246283754e-01,6.121392692880975872e-01,8.093599906068356109e-01,1.079341756973696054e+00,4.278687794216014417e+00,1.286884734829282895e+00,9.720542605278844617e-01,2.442251548583852516e-01
5.550000000000000711e+00,5.002322770664338059e-01,6.121574608837114795e-01,8.064698017793798801e-01,1.079807425569420332e+00,4.281755389456317396e+00,1.286076794096767895e+00,9.715889351763690174e-01,2.449886317037064942e-01
5.575000000000000178e+00,4.984749123908320256e-01,6.121673125236430923e-01,8.036418254691722884e-01,1.080241909183406790e+00,4.284550899188682926e+00,1.285274972634336432e+00,9.711156461376707627e-01,2.457277763472544563e-01
5.600000000000000533e+00,4.967593994943327318e-01,6.121685849511738775e-01,8.008770176596532453e-01,1.080622160665004161e+00,4.287075616771245379e+00,1.284480305298370872e+00,9.706348557273603017e-01,2.464418183613325541e-01
5.625000000000000000e+00,4.950863591642842287e-01,6.121614318683683553e-01,7.981764992526916291e-01,1.080970064176000944e+00,4.289331235962699829e+00,1.283693579211869107e+00,9.701463869568314191e-01,2.471299919855029781e-01
5.650000000000000355e+00,4.934563936923305749e-01,6.121459845067962480e-01,7.955413473842576355e-01,1.081279587676123422e+00,4.291319849572638567e+00,1.282915723472321856e+00,9.696504709977139536e-01,2.477915372149168682e-01
5.675000000000000711e+00,4.918700864964142272e-01,6.121224120963564275e-01,7.929726240478436328e-01,1.081551823423931413e+00,4.293043946672937317e+00,1.282149127416235324e+00,9.691472424142278941e-01,2.484257009042328823e-01
5.700000000000000178e+00,4.903280017516853939e-01,6.120910802720904709e-01,7.904714535091541538e-01,1.081803211728940894e+00,4.294506408340122761e+00,1.281394881238893113e+00,9.686366017211366364e-01,2.490317378845271490e-01
5.725000000000000533e+00,4.888306840306629319e-01,6.120522797019407601e-01,7.880388873609504019e-01,1.082030939617547594e+00,4.295710501906765622e+00,1.280654442810860827e+00,9.681187453564620293e-01,2.496089120905103098e-01
5.750000000000000000e+00,4.873786579529942875e-01,6.120060589817011287e-01,7.856758233381837542e-01,1.082248577883631269e+00,4.296659873708835065e+00,1.279929333249424372e+00,9.675936145605421590e-01,2.501564976952271313e-01
5.775000000000000355e+00,4.859724278451465485e-01,6.119524175395552046e-01,7.833830998965272130e-01,1.082434019478018206e+00,4.297358540325081577e+00,1.279219778110356698e+00,9.670617284263430813e-01,2.506737802492671197e-01
5.800000000000000711e+00,4.846124774103587329e-01,6.118915780564596618e-01,7.811616284011219102e-01,1.082617712956668976e+00,4.297810878314149541e+00,1.278525703692761750e+00,9.665227589587249701e-01,2.511600578215112956e-01
5.825000000000000178e+00,4.832992694091697850e-01,6.118236652128870023e-01,7.790122359006900199e-01,1.082781542887711668e+00,4.298021612465158903e+00,1.277848440307436828e+00,9.659771750803496371e-01,2.516146421383100851e-01
5.850000000000000533e+00,4.820332453508363590e-01,6.117489106145136413e-01,7.769357636986640170e-01,1.082940588420179484e+00,4.297995802587557534e+00,1.277188873131865687e+00,9.654248993667100542e-01,2.520368597178912484e-01
5.875000000000000000e+00,4.808148251959396546e-01,6.116673531347185389e-01,7.749329228974934924e-01,1.083101107949724140e+00,4.297738828876461525e+00,1.276548148316150044e+00,9.648659980681937309e-01,2.524260529967932709e-01
5.900000000000000355e+00,4.796444070704711238e-01,6.115787934630350087e-01,7.730042724759832451e-01,1.083234736157281608e+00,4.297256375900127878e+00,1.275927930709260139e+00,9.643011520139266324e-01,2.527815814450639076e-01
5.925000000000000711e+00,4.785223669916820466e-01,6.114833140234279263e-01,7.711504695122293196e-01,1.083367342552581380e+00,4.296554415266427895e+00,1.275329777455009195e+00,9.637300992328844407e-01,2.531028226669191916e-01
5.950000000000000178e+00,4.774490586059672581e-01,6.113806735743578802e-01,7.693719782250465489e-01,1.083477290075355981e+00,4.295639187035535045e+00,1.274754502737774242e+00,9.631534261306294864e-01,2.533891734835654330e-01
5.975000000000000533e+00,4.764248129390444286e-01,6.112704576849858906e-01,7.676691423602329811e-01,1.083552648506686422e+00,4.294517179955808395e+00,1.274204568486472677e+00,9.625715682086222191e-01,2.536400509949284787e-01
6.000000000000000000e+00,4.754499381586820284e-01,6.111526001749143511e-01,7.660424338505757991e-01,1.083590806745809321e+00,4.293195110609636878e+00,1.273681960879263331e+00,9.619848036054836626e-01,2.538548936169813253e-01
6.025000000000000355e+00,4.745247193502152849e-01,6.110267630226546842e-01,7.644921565633923111e-01,1.083593176006324210e+00,4.291679901564870114e+00,1.273187829857975295e+00,9.613933413618998003e-01,2.540331620914844657e-01
