metric,structural_length,status,coarse,medium,fine,refinement_ratio,coarse_medium_difference,medium_fine_difference,observed_order,convergence_ratio,extrapolated_limit,estimated_fine_error,estimated_relative_fine_error
component:localization,0.25,asymptotic,0.7765075261772865,0.7783313148950237,0.7787440756418732,2.0,-0.0018237887177372514,-0.00041276074684948316,2.1435609223731915,0.22632048484299735,0.7788648184178173,0.00012074277594409377,0.00015502404664954585
component:roughness,0.25,asymptotic,0.3777031608707913,0.3826054780716369,0.3838953196933971,2.0,-0.004902317200845607,-0.0012898416217601572,1.926269906171627,0.26310856048598213,0.3843558602210222,0.00046054052762511954,0.0011982138827291138
component:sign_mixing,0.25,asymptotic,0.9531454217336096,0.953620929882921,0.9537643363414405,2.0,-0.00047550814931140994,-0.00014340645851951273,1.7293600669820821,0.3015857009541932,0.9538262613870375,6.192504559698886e-05,6.492277273529724e-05
component:temporal_deformation,0.25,asymptotic,0.1447245707645135,0.14530214000170136,0.14547030282296672,2.0,-0.0005775692371878527,-0.00016816282126536075,1.7801351239594148,0.2911561254268573,0.14553937534688458,6.90725239178569e-05,0.00047459681445812576
structure_index,0.25,asymptotic,0.5515167081283816,0.5532310357985368,0.5536683256874555,2.0,-0.0017143276701552246,-0.00043728988891866827,1.9709809914111818,0.25507952565396885,0.5538180647552889,0.00014973906783344315,0.00027037591830740863
coupled_index,0.25,asymptotic,1.0634787707541775,1.097408054000465,1.1061872689474737,2.0,-0.03392928324628741,-0.008779214947008729,1.95036711125152,0.2587503804098002,1.1092518576463437,0.003064588698870052,0.00276275282096225
raw_roughness_index,0.25,asymptotic,0.6071455644388921,0.6199095107832033,0.6233025996867767,2.0,-0.012763946344311217,-0.0033930889035733713,1.9114033128567505,0.2658338426097852,0.6245312014855302,0.0012286017987535036,0.0019672384595535203
component:heterogeneity,0.5,asymptotic,0.5055028610957073,0.506295316141401,0.5064675939376002,2.0,-0.0007924550456936963,-0.00017227779619921613,2.201592322860001,0.21739756360363413,0.506515450641611,4.785670401075137e-05,9.448221954558453e-05
component:localization,0.5,asymptotic,0.7765075261772865,0.7783313148950237,0.7787440756418732,2.0,-0.0018237887177372514,-0.00041276074684948316,2.1435609223731915,0.22632048484299735,0.7788648184178173,0.00012074277594409377,0.00015502404664954585
component:roughness,0.5,asymptotic,0.5482724434010957,0.5534201904312498,0.5547683640677902,2.0,-0.005147747030154082,-0.001348173636540384,1.9329348397807748,0.26189586019731637,0.5552467262326894,0.00047836216489927086,0.0008615308155798144
